R1: IF persons = '2' -> evaluation = 'unacc' [Precision: 100%, Coverage: 33.21%]
R2: IF safety = 'low' -> evaluation = 'unacc' [Precision: 100%, Coverage: 32.63%]
R3: IF buying = 'vhigh' AND maint = 'vhigh' -> evaluation = 'unacc' [Precision: 100%, Coverage: 6.08%]
R4: IF buying = 'vhigh' AND maint = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 5.72%]
R5: IF buying = 'high' AND maint = 'vhigh' -> evaluation = 'unacc' [Precision: 100%, Coverage: 6.73%]
R6: IF buying = 'high' AND doors = '2' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 1.88%]
R7: IF buying = 'vhigh' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 2.82%]
R8: IF buying = 'high' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 2.97%]
R9: IF maint = 'vhigh' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 2.6%]
R10: IF doors = '2' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 2.68%]
R11: IF buying = 'vhigh' AND maint = 'low' AND doors = '2' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.51%]
R12: IF buying = 'high' AND maint = 'low' AND doors = '2' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.36%]
R13: IF buying = 'low' AND maint = 'vhigh' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.58%]
R14: IF buying = 'low' AND maint = 'vhigh' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.8%]
R15: IF buying = 'low' AND maint = 'high' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.65%]
R16: IF buying = 'med' AND maint = 'vhigh' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.72%]
R17: IF buying = 'med' AND maint = 'high' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.58%]
R18: IF buying = 'med' AND maint = 'med' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.72%]
R19: IF buying = 'vhigh' AND maint = 'low' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.65%]
R20: IF buying = 'vhigh' AND maint = 'med' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.65%]
R21: IF buying = 'high' AND maint = 'low' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.58%]
R22: IF buying = 'high' AND maint = 'high' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.72%]
R23: IF buying = 'high' AND maint = 'high' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.65%]
R24: IF buying = 'high' AND maint = 'med' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.72%]
R25: IF buying = 'med' AND maint = 'high' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.8%]
R26: IF buying = 'vhigh' AND doors = '4' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.51%]
R27: IF buying = 'vhigh' AND doors = '2' AND persons = '4' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.65%]
R28: IF buying = 'vhigh' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.72%]
R29: IF buying = 'high' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.65%]
R30: IF maint = 'vhigh' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.72%]
R31: IF buying = 'low' AND maint = 'high' AND doors = '2' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R32: IF buying = 'low' AND maint = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R33: IF buying = 'low' AND maint = 'vhigh' AND doors = '2' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R34: IF buying = 'low' AND maint = 'vhigh' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R35: IF buying = 'low' AND maint = 'vhigh' AND doors = '3' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R36: IF buying = 'low' AND maint = 'vhigh' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R37: IF buying = 'low' AND maint = 'vhigh' AND doors = '5more' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R38: IF buying = 'low' AND maint = 'vhigh' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
